id_do_caso,continente,educacao_do_empregado,tem_experiencia_de_trabalho,requer_treinamento_de_trabalho,num_de_empregados,ano_de_estabelecimento,regiao_de_emprego,salario_prevalecente,unidade_de_salario,posicao_em_tempo_integral,status_do_caso
EZYV4891,Ásia,Ensino Superior,N,N,4989,2004,Oeste,43145.7,Ano,S,Negado
EZYV9245,Ásia,Ensino Superior,N,N,2240,2001,Sul,14439.38,Ano,N,Aprovado
EZYV16245,Europa,Doutorado,S,N,2053,1994,Sul,14905.39,Ano,S,Aprovado
EZYV25303,América do Norte,Mestrado,S,N,1967,2004,Nordeste,41236.95,Ano,S,Negado
EZYV20087,Ásia,Mestrado,S,N,3578,1914,Nordeste,241811.15,Ano,N,Aprovado
EZYV67,América do Norte,Ensino Superior,N,N,80,1968,Oeste,82324.64,Ano,N,Negado
EZYV5462,Ásia,Ensino Superior,S,N,280,1996,Oeste,76966.42,Ano,S,Negado
EZYV20664,Europa,Ensino Superior,N,S,88622,2012,Oeste,10869.2,Ano,S,Aprovado
EZYV20602,Ásia,Ensino Superior,S,S,3922,2001,Oeste,615.32,Ano,S,Negado
EZYV11726,América do Norte,Mestrado,S,S,4114,1977,Sul,123176.33,Ano,S,Negado
EZYV8714,Ásia,Mestrado,N,N,1652,1987,Meio-Oeste,159643.51,Ano,S,Aprovado
EZYV7331,Ásia,Ensino Superior,N,N,2052,2007,Sul,100345.72,Ano,N,Aprovado
EZYV13703,Europa,Doutorado,N,N,117375,1981,Sul,4122.75,Ano,S,Aprovado
EZYV8412,Ásia,Ensino Superior,S,N,2410,2008,Sul,50509.2,Ano,S,Negado
EZYV74,Ásia,Mestrado,S,N,452,1890,Sul,122540.55,Ano,S,Aprovado
EZYV1872,Europa,Mestrado,N,N,183,1975,Oeste,69076.34,Ano,S,Aprovado
EZYV14444,Ásia,Mestrado,N,N,14063,2006,Sul,188651.38,Ano,S,Aprovado
EZYV7348,Ásia,Doutorado,S,N,80,1931,Sul,72311.46,Ano,N,Aprovado
EZYV12705,Europa,Ensino Médio,N,N,595,1969,Nordeste,122697.43,Ano,S,Negado
EZYV7482,América do Sul,Doutorado,N,N,1221,1980,Sul,31374.88,Ano,S,Aprovado
EZYV24234,Ásia,Ensino Superior,S,N,1125,1980,Oeste,9857.9,Ano,S,Aprovado
EZYV13592,Europa,Ensino Médio,S,N,234,1954,Oeste,32139.19,Ano,S,Negado
EZYV5277,Ásia,Mestrado,S,N,5223,1972,Oeste,35082.86,Ano,N,Aprovado
EZYV23686,Ásia,Mestrado,N,N,5476,1984,Sul,35035.36,Ano,S,Negado
EZYV22446,Ásia,Ensino Superior,S,N,631,2012,Oeste,92642.43,Ano,S,Aprovado
EZYV25182,Europa,Doutorado,S,N,5596,2000,Oeste,3286.51,Ano,S,Aprovado
EZYV24553,Ásia,Mestrado,N,N,1277,2007,Meio-Oeste,78379.31,Ano,S,Aprovado
EZYV83,Ásia,Ensino Médio,S,N,39,2000,Oeste,70778.82,Ano,S,Negado
EZYV11624,Ásia,Ensino Superior,S,N,2774,2006,Sul,6001.7,Ano,S,Aprovado
EZYV8285,Europa,Doutorado,N,N,104,1872,Nordeste,51214.55,Ano,S,Aprovado
EZYV16350,Ásia,Doutorado,S,N,3359,1968,Nordeste,22773.95,Ano,S,Aprovado
EZYV10721,Europa,Mestrado,S,N,2989,1954,Oeste,92859.85,Ano,S,Aprovado
EZYV15285,Ásia,Ensino Médio,S,N,3081,2000,Nordeste,107725.69,Ano,S,Negado
EZYV17437,Ásia,Ensino Médio,S,N,1065,2011,Nordeste,36182.96,Ano,S,Aprovado
EZYV16714,América do Norte,Ensino Médio,N,N,9245,1960,Meio-Oeste,41711.83,Ano,S,Aprovado
EZYV18087,América do Norte,Ensino Superior,S,N,1022,1962,Nordeste,107762.7,Ano,S,Negado
EZYV4383,Ásia,Doutorado,S,N,5253,1988,Sul,12649.43,Ano,S,Aprovado
EZYV12617,Ásia,Mestrado,N,N,2609,1989,Nordeste,3078.37,Mês,S,Negado
EZYV12543,Ásia,Ensino Médio,N,N,1795,1833,Nordeste,142313.17,Ano,S,Negado
EZYV7058,América do Norte,Mestrado,S,N,2813,1983,Nordeste,58657.36,Ano,S,Aprovado
EZYV5178,América do Norte,Ensino Superior,S,N,3520,1993,Nordeste,158.36,Hora,S,Negado
EZYV17007,Ásia,Doutorado,S,N,-11,1984,Oeste,25753.51,Ano,S,Negado
EZYV801,Europa,Ensino Médio,S,S,69947,1995,Nordeste,127242.79,Ano,S,Negado
EZYV827,América do Sul,Mestrado,S,N,1224,1880,Meio-Oeste,22815.27,Ano,S,Aprovado
EZYV20728,Ásia,Mestrado,S,N,4612,2009,Nordeste,19724.4,Ano,S,Aprovado
EZYV22134,Ásia,Mestrado,S,N,105,1997,Sul,65384.35,Ano,S,Aprovado
EZYV21790,Europa,Mestrado,S,N,4655,1934,Oeste,107125.17,Ano,S,Negado
EZYV4751,Ásia,Mestrado,S,N,1072,1974,Sul,47109.74,Ano,S,Aprovado
EZYV1053,África,Ensino Médio,S,N,5838,1910,Meio-Oeste,114592.85,Ano,S,Aprovado
EZYV9753,Ásia,Mestrado,S,N,5958,2010,Sul,386.95,Ano,S,Aprovado
EZYV15022,Ásia,Ensino Médio,N,N,3248,1994,Nordeste,112790.25,Ano,S,Negado
EZYV14339,Ásia,Ensino Superior,N,N,2926,1993,Sul,299.2344,Hora,S,Negado
EZYV4472,América do Norte,Ensino Superior,N,N,2347,1999,Oeste,95496.49,Ano,S,Negado
EZYV1901,Ásia,Ensino Médio,N,S,365,2005,Meio-Oeste,88330.46,Ano,S,Aprovado
EZYV5971,Ásia,Mestrado,N,N,4755,1933,Meio-Oeste,130443.76,Ano,S,Aprovado
EZYV20931,Ásia,Mestrado,N,N,2373,1992,Meio-Oeste,32197.86,Ano,S,Aprovado
EZYV1601,América do Norte,Ensino Superior,N,N,3065,1973,Meio-Oeste,174495.55,Ano,N,Aprovado
EZYV6642,Ásia,Ensino Superior,N,N,1434,1979,Nordeste,76878.2,Ano,S,Negado
EZYV22997,Europa,Ensino Superior,N,N,5147,1991,Nordeste,60890.91,Ano,S,Aprovado
EZYV5994,Ásia,Ensino Superior,S,N,3143,2001,Nordeste,26946.53,Ano,S,Negado
EZYV17699,Ásia,Ensino Superior,N,N,3134,1945,Sul,673.6424,Hora,S,Negado
EZYV18704,Ásia,Ensino Superior,S,N,1596,1939,Nordeste,45847.34,Ano,S,Aprovado
EZYV9346,Ásia,Mestrado,S,N,377,2007,Nordeste,135634.95,Ano,S,Aprovado
EZYV24440,Ásia,Mestrado,N,N,1177,1997,Nordeste,81708.11,Ano,S,Negado
EZYV21731,Ásia,Ensino Superior,N,N,1176,1998,Meio-Oeste,38163.44,Ano,S,Aprovado
EZYV6251,Ásia,Ensino Superior,N,N,137,1985,Sul,301.2781,Hora,S,Negado
EZYV1213,Ásia,Ensino Médio,N,N,31859,1964,Sul,932.9804,Hora,S,Aprovado
EZYV9329,Ásia,Mestrado,S,N,3338,2003,Nordeste,107608.28,Ano,S,Aprovado
EZYV14949,Ásia,Mestrado,S,N,2635,1988,Sul,10456.15,Ano,S,Aprovado
EZYV85,Ásia,Mestrado,S,S,1023,2002,Sul,174014.59,Ano,S,Aprovado
EZYV17368,Ásia,Doutorado,S,N,4750,2005,Meio-Oeste,221900.52,Ano,S,Aprovado
EZYV814,Ásia,Mestrado,S,N,5664,1999,Oeste,34770.1,Ano,S,Aprovado
EZYV736,África,Mestrado,S,N,1838,1990,Meio-Oeste,112102.98,Ano,S,Aprovado
EZYV8781,Europa,Ensino Superior,S,N,2306,1881,Nordeste,99122.45,Ano,S,Aprovado
EZYV17792,América do Norte,Mestrado,S,N,2991,1932,Oeste,102446.51,Ano,N,Aprovado
EZYV17657,Ásia,Mestrado,S,N,120,1990,Oeste,40541.2,Ano,S,Aprovado
EZYV10145,Europa,Ensino Superior,N,S,2163,1939,Nordeste,77102.96,Ano,S,Aprovado
EZYV14324,Ásia,Ensino Médio,S,S,4963,1998,Oeste,103642.77,Ano,S,Negado
EZYV10610,Ásia,Mestrado,S,N,4585,1997,Sul,4860.1,Ano,N,Aprovado
EZYV14985,Ásia,Ensino Superior,N,N,3684,2007,Sul,126189.3,Ano,S,Aprovado
EZYV19925,América do Norte,Ensino Superior,N,N,1568,1976,Nordeste,27512.19,Ano,S,Negado
EZYV24159,América do Norte,Ensino Superior,N,N,453,2002,Sul,115570.99,Ano,S,Aprovado
EZYV5027,Europa,Doutorado,N,N,4296,2008,Sul,6941.67,Ano,S,Aprovado
EZYV7202,América do Norte,Mestrado,N,N,3425,1999,Meio-Oeste,27826.13,Ano,S,Aprovado
EZYV7919,Europa,Ensino Superior,S,N,3436,2013,Oeste,47177.16,Ano,S,Negado
EZYV16380,Europa,Doutorado,S,S,4427,2013,Oeste,23913.44,Ano,S,Aprovado
EZYV9533,Europa,Doutorado,S,N,2883,1963,Nordeste,138536.56,Ano,S,Aprovado
EZYV23796,Ásia,Ensino Superior,S,N,4486,1998,Sul,81375.83,Ano,S,Negado
EZYV14326,Europa,Ensino Médio,S,N,622,1983,Sul,49958.16,Ano,S,Negado
EZYV22560,Ásia,Mestrado,N,N,21021,1977,Nordeste,164.0089,Hora,S,Negado
EZYV17974,América do Sul,Doutorado,N,S,60905,2007,Sul,87530.84,Ano,S,Aprovado
EZYV7222,Ásia,Ensino Superior,N,S,100771,1838,Nordeste,187808.28,Ano,S,Aprovado
EZYV4376,Ásia,Mestrado,S,N,1837,2000,Sul,43769.73,Ano,S,Aprovado
EZYV16952,Europa,Ensino Superior,S,N,2487,2005,Oeste,56518.49,Ano,S,Aprovado
EZYV9990,Ásia,Mestrado,S,N,2231,2005,Meio-Oeste,118029.48,Ano,S,Aprovado
EZYV14613,Ásia,Ensino Médio,S,N,2071,2000,Sul,93458.12,Ano,N,Negado
EZYV20155,Ásia,Mestrado,N,N,4389,2004,Meio-Oeste,124244.19,Ano,S,Aprovado
EZYV17461,Europa,Mestrado,N,N,70615,1973,Oeste,7834.5,Ano,S,Aprovado
EZYV19289,Ásia,Ensino Médio,S,N,528,1999,Meio-Oeste,62628.67,Ano,S,Aprovado
EZYV3483,Ásia,Ensino Médio,S,N,2974,1959,Oeste,2034.28,Ano,S,Negado
EZYV4300,Ásia,Mestrado,S,N,91148,1998,Oeste,132.82,Hora,S,Aprovado
EZYV17565,América do Norte,Mestrado,S,N,3103,1838,Nordeste,86385.21,Ano,N,Negado
EZYV9262,Ásia,Mestrado,S,N,6039,2013,Meio-Oeste,137807.55,Ano,N,Aprovado
EZYV3478,Ásia,Ensino Superior,N,N,4027,2001,Nordeste,109.76,Hora,S,Negado
EZYV6563,Ásia,Mestrado,N,N,1383,2004,Meio-Oeste,718.027,Hora,S,Aprovado
EZYV4780,Ásia,Mestrado,S,N,4344,1939,Sul,103632.59,Ano,S,Aprovado
EZYV18636,América do Norte,Mestrado,S,N,3819,1977,Nordeste,86371.84,Ano,S,Negado
EZYV13864,Ásia,Mestrado,S,N,2443,2007,Oeste,20701.79,Ano,S,Aprovado
EZYV24406,Europa,Mestrado,S,N,2216,1947,Nordeste,118495.9,Ano,S,Aprovado
EZYV12107,Ásia,Ensino Superior,N,N,10641,1993,Meio-Oeste,29022.63,Ano,S,Aprovado
EZYV25056,Ásia,Mestrado,N,S,1990,1985,Sul,47508.19,Ano,S,Aprovado
EZYV9457,América do Norte,Mestrado,S,N,2496,1987,Sul,4839.98,Ano,N,Negado
EZYV25243,América do Norte,Mestrado,S,N,517,1993,Oeste,98116.95,Ano,S,Aprovado
EZYV22294,Ásia,Mestrado,N,N,326,2000,Meio-Oeste,110646.74,Ano,S,Negado
EZYV16597,Europa,Mestrado,N,N,673,1989,Nordeste,102819.6,Ano,S,Aprovado
EZYV24937,América do Norte,Ensino Superior,N,N,3176,1998,Sul,20898.29,Ano,N,Negado
EZYV18319,Ásia,Ensino Superior,S,S,12669,1977,Oeste,154599.79,Ano,S,Aprovado
EZYV5008,Ásia,Doutorado,N,S,433,1867,Sul,124155.88,Ano,S,Aprovado
EZYV15197,Ásia,Mestrado,N,N,857,2005,Meio-Oeste,134699.98,Ano,S,Aprovado
EZYV1226,Europa,Doutorado,S,N,2405,1986,Sul,429.95,Ano,S,Aprovado
EZYV1259,América do Norte,Ensino Superior,N,N,1447,1984,Nordeste,26679.76,Ano,S,Negado
EZYV1764,Ásia,Mestrado,S,N,4826,1994,Oeste,66413.19,Ano,S,Aprovado
EZYV23580,Europa,Mestrado,S,N,764,1998,Oeste,13239.84,Ano,S,Aprovado
EZYV21583,Europa,Doutorado,N,S,1637,2007,Sul,11266.56,Ano,S,Negado
EZYV11612,Ásia,Mestrado,N,N,1566,2009,Oeste,76941.3,Ano,N,Aprovado
EZYV139,Ásia,Ensino Superior,S,N,1195,1914,Meio-Oeste,108519.14,Ano,S,Aprovado
EZYV13171,Ásia,Ensino Superior,S,N,2274,1875,Sul,57490.42,Ano,S,Aprovado
EZYV6337,Ásia,Ensino Superior,S,N,1801,1866,Oeste,128044.08,Ano,S,Aprovado
EZYV5904,América do Norte,Ensino Médio,S,N,739,1995,Nordeste,4201.92,Ano,S,Aprovado
EZYV12401,Ásia,Mestrado,S,N,3169,1968,Meio-Oeste,85415.78,Ano,N,Aprovado
EZYV19219,Europa,Ensino Médio,S,N,2536,1954,Meio-Oeste,163341.22,Ano,S,Aprovado
EZYV3692,Ásia,Ensino Superior,N,N,293,1894,Meio-Oeste,9489.65,Ano,S,Negado
EZYV5608,Ásia,Mestrado,S,N,4296,2008,Sul,127922.38,Ano,S,Aprovado
EZYV2430,Ásia,Ensino Superior,S,N,80778,1998,Nordeste,22476.18,Ano,S,Aprovado
EZYV1246,Ásia,Ensino Superior,S,N,773,1996,Sul,80949.53,Ano,S,Aprovado
EZYV12723,Ásia,Ensino Médio,N,N,2938,1963,Nordeste,123.7616,Hora,S,Negado
EZYV3791,Ásia,Ensino Superior,S,N,3173,2002,Sul,28652.91,Ano,S,Negado
EZYV25239,Ásia,Ensino Superior,S,N,1614,2008,Meio-Oeste,88771.85,Ano,S,Aprovado
EZYV17450,Ásia,Mestrado,S,N,2646,1965,Meio-Oeste,99154.55,Ano,S,Aprovado
EZYV700,Ásia,Mestrado,S,N,463,1907,Nordeste,68182.63,Ano,S,Aprovado
EZYV16797,Ásia,Ensino Superior,N,S,24,1991,Oeste,87751.3,Ano,S,Aprovado
EZYV203,Ásia,Ensino Superior,S,N,3128,1999,Oeste,31890.66,Ano,S,Aprovado
EZYV21026,Ásia,Ensino Superior,N,N,2149,1995,Sul,73118.95,Ano,S,Negado
EZYV7067,Ásia,Ensino Médio,S,N,412,1981,Sul,11.8704,Hora,S,Negado
EZYV2832,Europa,Mestrado,S,N,2317,1994,Sul,69079.84,Ano,S,Aprovado
EZYV10116,Ásia,Ensino Superior,N,N,2836,1986,Meio-Oeste,163371.86,Ano,S,Aprovado
EZYV3668,Europa,Mestrado,S,N,18553,1985,Nordeste,2630.75,Ano,S,Aprovado
EZYV3218,Ásia,Mestrado,N,N,5232,2011,Sul,148336.92,Ano,S,Negado
EZYV9309,América do Norte,Mestrado,N,N,1582,1995,Nordeste,335.2274,Hora,S,Negado
EZYV23116,Europa,Ensino Superior,S,N,1526,1839,Oeste,45.0484,Hora,S,Negado
EZYV6190,Ásia,Mestrado,S,N,3193,2012,Sul,116383.1,Ano,S,Aprovado
EZYV13074,Ásia,Ensino Médio,S,N,2090,2001,Meio-Oeste,82958.83,Ano,S,Negado
EZYV8947,Oceania,Ensino Médio,N,N,4268,1962,Nordeste,853.6152,Hora,S,Aprovado
EZYV20543,Ásia,Mestrado,S,N,5033,1889,Sul,67195.56,Ano,N,Aprovado
EZYV21218,Ásia,Ensino Superior,N,S,2237,1999,Sul,63269.11,Ano,S,Aprovado
EZYV2677,América do Norte,Mestrado,N,N,1979,1985,Oeste,85786.34,Ano,S,Negado
EZYV9696,Ásia,Ensino Superior,S,N,4266,1951,Meio-Oeste,165837.11,Ano,S,Aprovado
EZYV11985,Europa,Mestrado,S,N,2092,2007,Sul,24891.13,Ano,S,Aprovado
EZYV6566,América do Norte,Mestrado,S,N,117,1996,Oeste,69144.58,Ano,S,Aprovado
EZYV14438,Europa,Mestrado,S,N,1608,1998,Nordeste,82064.84,Ano,S,Aprovado
EZYV12484,Ásia,Ensino Superior,S,S,2342,1983,Nordeste,86470.18,Ano,S,Negado
EZYV20890,América do Sul,Ensino Superior,S,N,3932,2002,Nordeste,63377.43,Ano,S,Negado
EZYV23056,Ásia,Ensino Superior,N,N,1214,1994,Nordeste,31405.29,Ano,S,Aprovado
EZYV17758,Ásia,Ensino Superior,N,S,2601,1999,Sul,117828.92,Ano,S,Aprovado
EZYV24442,América do Norte,Mestrado,N,N,4719,1977,Oeste,47407.67,Ano,S,Negado
EZYV13027,Ásia,Doutorado,S,N,947,1946,Sul,151275.66,Ano,S,Aprovado
EZYV7418,Ásia,Mestrado,S,N,4325,1997,Sul,6045.66,Ano,S,Aprovado
EZYV20259,Ásia,Ensino Superior,S,N,1493,1968,Sul,95892.37,Ano,S,Aprovado
EZYV18730,Ásia,Ensino Superior,N,N,716,1993,Nordeste,317.3444,Hora,S,Aprovado
EZYV20180,Ásia,Ensino Superior,S,N,2464,1971,Nordeste,25579.7,Ano,S,Negado
EZYV3343,Ásia,Mestrado,S,N,475,2014,Meio-Oeste,28850.75,Ano,S,Aprovado
EZYV5705,Ásia,Mestrado,S,N,3191,2011,Nordeste,102906.33,Ano,N,Aprovado
EZYV7091,Ásia,Mestrado,S,N,928,2008,Meio-Oeste,112107.8,Ano,S,Aprovado
EZYV25150,Ásia,Mestrado,N,N,4152,1997,Sul,135147.09,Ano,N,Negado
EZYV501,Ásia,Mestrado,S,N,1245,2012,Meio-Oeste,92549.52,Ano,N,Aprovado
EZYV17339,Ásia,Ensino Médio,N,N,628,1997,Nordeste,58839.51,Ano,S,Aprovado
EZYV20848,América do Sul,Ensino Médio,S,N,4675,1981,Meio-Oeste,55440.84,Ano,S,Aprovado
EZYV363,América do Sul,Ensino Superior,S,N,1837,1898,Sul,227.1764,Hora,S,Aprovado
EZYV14097,Ásia,Ensino Superior,S,N,3078,1987,Oeste,41783.69,Ano,S,Negado
EZYV15185,Ásia,Mestrado,S,S,588,1838,Nordeste,102876.51,Ano,S,Aprovado
EZYV24205,Ásia,Ensino Superior,N,N,754,1855,Sul,119713.28,Ano,S,Negado
EZYV15450,Ásia,Mestrado,S,N,854,2010,Meio-Oeste,81735.79,Ano,N,Aprovado
EZYV16848,Ásia,Ensino Médio,N,N,121,1999,Meio-Oeste,106921.18,Ano,S,Aprovado
EZYV4164,América do Norte,Mestrado,S,N,651,2009,Sul,128469.65,Ano,S,Aprovado
EZYV24634,América do Norte,Ensino Superior,N,S,2833,1906,Sul,19490.22,Ano,S,Aprovado
EZYV15901,Europa,Doutorado,S,N,839,1989,Sul,23539.21,Ano,S,Aprovado
EZYV4929,Ásia,Mestrado,S,N,2117,2014,Meio-Oeste,133655.95,Ano,S,Aprovado
EZYV24361,Ásia,Mestrado,S,N,5550,1991,Ilha,77094.42,Ano,S,Negado
EZYV11543,Ásia,Mestrado,S,N,101941,1975,Nordeste,80889.54,Ano,S,Aprovado
EZYV23454,África,Mestrado,S,N,1085,1998,Oeste,127740.34,Ano,S,Aprovado
EZYV3294,Ásia,Doutorado,N,N,68241,1985,Oeste,172382.79,Ano,S,Negado
EZYV15046,Ásia,Ensino Superior,S,N,1523,2005,Meio-Oeste,212779.75,Ano,S,Aprovado
EZYV17702,Ásia,Ensino Superior,N,N,531,2009,Oeste,104416.31,Ano,S,Aprovado
EZYV11401,América do Norte,Ensino Superior,S,N,796,1938,Sul,689.3365,Hora,S,Negado
EZYV21349,América do Norte,Mestrado,N,N,3567,1896,Nordeste,118.3811,Hora,S,Negado
EZYV23305,Ásia,Ensino Superior,N,S,540,1863,Sul,215800.83,Ano,S,Aprovado
EZYV7947,Ásia,Doutorado,S,N,500,1985,Nordeste,56686.88,Ano,S,Aprovado
EZYV5499,Ásia,Mestrado,S,N,2022,1889,Nordeste,72229.67,Ano,S,Aprovado
EZYV17247,Europa,Mestrado,N,S,2631,1982,Sul,182499.34,Ano,S,Negado
EZYV9217,África,Ensino Superior,N,N,893,1979,Oeste,117406.94,Ano,S,Aprovado
EZYV4047,Ásia,Ensino Médio,S,N,740,1948,Oeste,17096.86,Ano,S,Negado
EZYV1966,Ásia,Ensino Superior,S,N,2293,1998,Sul,25409.03,Ano,S,Aprovado
EZYV23711,América do Norte,Doutorado,S,N,727,1938,Nordeste,5704.88,Ano,S,Aprovado
EZYV8520,América do Norte,Ensino Superior,N,N,1943,1995,Oeste,49373.11,Ano,S,Negado
EZYV17429,Europa,Mestrado,S,N,3076,1978,Sul,56150.67,Ano,S,Aprovado
EZYV8427,Ásia,Ensino Superior,S,N,128,1947,Sul,51294.76,Ano,S,Aprovado
EZYV2180,América do Norte,Ensino Médio,S,N,5545,2005,Oeste,51725.47,Ano,S,Aprovado
EZYV7954,Ásia,Ensino Superior,N,N,5959,1988,Oeste,109430.43,Ano,S,Aprovado
EZYV13404,Ásia,Ensino Superior,N,N,4288,1995,Nordeste,189.5454,Hora,S,Negado
EZYV20746,Ásia,Mestrado,N,N,781,1990,Sul,161245.1,Ano,N,Aprovado
EZYV22035,Ásia,Ensino Médio,S,N,2769,2012,Oeste,37185.38,Semana,S,Aprovado
EZYV23298,Ásia,Mestrado,S,N,195,2005,Meio-Oeste,160788.76,Ano,S,Aprovado
EZYV7982,Ásia,Mestrado,S,S,86,1969,Oeste,114438.68,Ano,S,Aprovado
EZYV15269,Ásia,Ensino Superior,S,S,499720,1948,Oeste,47992.0,Ano,S,Aprovado
EZYV13416,Ásia,Ensino Superior,S,N,3152,1994,Oeste,11261.87,Ano,S,Negado
EZYV24285,Europa,Ensino Superior,S,N,5760,1838,Sul,18947.12,Ano,S,Aprovado
EZYV7763,Ásia,Mestrado,S,N,1997,1850,Oeste,110971.9,Ano,S,Aprovado
EZYV4232,Ásia,Ensino Superior,N,N,967,2003,Oeste,104577.67,Ano,S,Negado
EZYV14452,Ásia,Ensino Superior,N,S,232,2004,Sul,119524.71,Ano,S,Negado
EZYV22362,Ásia,Ensino Médio,N,N,3581,2007,Nordeste,79960.59,Ano,S,Aprovado
EZYV10689,Ásia,Mestrado,S,N,210,1994,Meio-Oeste,112842.28,Ano,S,Aprovado
EZYV12638,Ásia,Ensino Médio,N,S,525,2001,Meio-Oeste,97298.69,Ano,S,Negado
EZYV7539,Ásia,Mestrado,N,N,1225,1998,Nordeste,113.23,Hora,S,Aprovado
EZYV25220,América do Norte,Mestrado,N,N,4844,2005,Nordeste,13949.76,Ano,S,Aprovado
EZYV7105,Ásia,Mestrado,S,N,639,1934,Ilha,135252.31,Ano,S,Aprovado
EZYV14772,Ásia,Mestrado,S,N,1991,2007,Sul,154825.43,Ano,S,Aprovado
EZYV24752,Europa,Mestrado,S,N,904,1925,Nordeste,147892.95,Ano,S,Aprovado
